ID,Name,Description,Contributor,Citation,Item_Type,Item_Subtype,State_Territory,Cultural_Region,Motifs,Motif_Transcription,Keywords,Object_Creator,Date_Created,Note_Date_Created,Linguistic_Areas,Note_Linguistic_Areas,Stick_Term,Message,Dimensions,Note_Dimensions,Material,Technique,Source_Citation,Source_Type,Year_Collected,Note_Date_Collected,Holder_File,Holder_Object_ID,Collector,Place_Collected,File_Copyright,Latitude,Longitude,Note_Coordinates,URL_Institution,Source_URLs,Related,Note,Semantic_Domains,Data_Entry,Media_IDs
MusV_X_000970,A Wakka Wakka message stick at the centre of an alleged plot to free a condemned prisoner in Brisbane Gaol,"Sketch of message stick on p354 of R. Brough Smythe's 'Aborigines of Victoria'<br/><br/>    Original register (at MusV): ""Date received: ?1894. 970. Message Stick. Very small. dark wood with deep incision lines.<br/><br/>    The lines cut on it are said to convey the following intelligence: ""Two blackfellows come up in two days, seventeen days ago. One blackfellow come up to where this fellow (Jacob) sit down. The track shown on the stick means that from the place where the blackfellows set out to Brisbane. The message means that the aboriginals were takingsteps to aid Jacob in some attempt to escape."" This is the tranlsation which was given by Charbig, a native trouper, before a court in Queensland. ""Jacob"" was in prison. Queensland. Figured in Brough Smyth's ""Aborigines of Victoria"" Fig 171 p. 354.""<br/><br/>    MusV object description, PDF: ""Very small. Of dark wood with deep incised lines."" <br/><br/>",,,message stick in a collection,traditional,Queensland,,,,interpreted_artefact + glossed_artefact + unbound + traced_artefact + musv_priority + asynchronous + to_exhibit_musv + first_inventors + provenance_discovery + calendar,"Recipient: ""An Aboriginal named Jacob"" (p354)",1870,terminus ante quem,1,,,"A native trooper, belonging to another part of the country, gave an interpretation of the symbols. (p. 354), """" Charbig"" the native trooper, said that the symbols conveyed the following: intelligence — ""Two blackfellows come up in two days seventeen days ago. One blackfellow come up to where this fellow (Jacob) sit down. The track shown on the stick means that from the place where the blackfellows set out to Brisbane. The message means that the Aboriginals were taking steps to aid Jacob in some attempt at escape."" (p. 355)",120 70 10,,,,"Brough Smythe, R. 1878. The Aborigines of Victoria: With notes relating to the habits of natives of other parts of Australia and Tasmania. Vol. I. Melbourne & London: John Ferres. + National Gallery of Victoria. 1878. Catalogue of the objects of ethnotypical art in the National Gallery published by direction of the trustees of the public library and museums of Victoria. Melbourne: Mason, Firth & M'Cutcheon. + 1904 ‘SKETCHER.’, The Queenslander (Brisbane, Qld. : 1866 - 1939), 23 July, p. 27. , viewed 30 Jul 2018, http://nla.gov.au/nla.news-article22267154",book,,,1,X 970,"It was sent to me [Brough Smythe] by Mr. N. Bartley, who says, in a letter dated 21st June 1870, that it was given to him by the Honorable R. Pring, Q.C., Attorney-General of the colony. (p.354)",,Museums Victoria,-25.626361,151.611722,Exact coordinates for the town of Gayndah,,http://archive.org/details/aboriginesofvict01smyt/page/354/mode/2up?view=theater https://archive.org/details/catalogueobject00unkngoog/page/n54/mode/2up,,"MusV data from spreadsheet: X 000970, Message stick, Brisbane, Southeast Queensland, Queensland, Australia, Registered [X 970] Source Unrecorded (Unknown Acquisition Method)    Brisbane Queensland   Previous AMSD ID: RBS1878P354F171
    This is the first ever object to be described in print as a message stick (Brough Smythe 1878)
    AR: Dimensions added from MV PDF: 120 x 70 x 10
    09.08.2024 PK: All notes relevant to the history of this object are now in the Google Doc titled STORY: The Brisbane Gaol message stick of the project folder.
",sd_journey sd_time sd_request_help,Piers Kelly + Alexandra Roginski,EAEA0-33AC-1D17-D7CF-0 EAEA0-484A-B142-8A62-0 EAEA0-6C1C-0B34-00A0-0 EAEA0-9806-BE1D-12ED-0 EAEA0-A5B7-6D86-3AF2-0 EAEA0-B2C6-E6DC-EBAE-0 EAEA0-C5F1-694B-5FDB-0 EAEA0-DDC9-CEA4-0BD3-0
PRM1989_46_3,"A message stick held in the Pitt Rivers Museum, and reproduced by A.W. Howitt (1889, 1904)","Message stick holder: Pitt Rivers Museum.   Object description: ""Notched wooden message stick with incised pattern. The marks are said not to have any meaning beyond being connected in the messengers mind with his message. [JN 05/03/2014]""  Sketch of message stick fig (1) in 'Notes on Australian Message Sticks and Messengers' (Howitt 1889, pp. 330-331) and Sketch of message stick (fig. 1) on p. 696 in Howitt's 1904 ""The native tribes of southeast Australia""",,,message stick in a collection,traditional,Victoria,,,,interpreted_artefact + glossed_artefact + localized_artefact + ornament + flashmarks + multiple_sources + named_creator + tally_imprecise + native_title_vic,"This [Woiworung] is now all but extinct-one survivor is the intelligent old bard whose songs Dr. Torrance has recorded, and whom I have had before occasion to refer to as my authority for the customs of his people, of which he is a complete repository (1889, p316)
    ""My informant Berak"" (1889, p. 318) 
    ""Maker: William Barak ?"" (PRM Catalogue)",1883,terminus ante quem,2,"The message stick is associated with the “Woiworung tribe, Victoria” (Howitt 1889, p.331).",,"The notches on the upper right hand side of the stick represent the sender, and other old men who join with him in the message. Those on the under side represent the recipient and the old men with him. The remainder of the stick being notched along the whole length above and below means that all the men of both localities are to be present. The markings on the flat side at the right hand are merely ornamental, as are also the crescent-shaped ends of the stick. This message is supposed to be an invitation to some people at a distance to come to a corroboree. (Howitt 1889, p. 318) 
    ""Message stick of Woiworung tribe, Victoria, to collect an assembly for corroboree. The reverse is plain. Scale one-half linear."" (Howitt 1889, p. 331)
    ""The notches on the upper end at the left hand of the stick represent the sender and other old men with him. The remainder of the stick being notched along the whole of the two sides, means that all the men of both localities are to be present. The markings on the flat side, at the lower end, are only for ornament, as are also the crescent-shaped ends of the stick. This message is an invitation to some people at a distance to come to a corrobboree."" (Howitt 1904, p.702)",140 13,,wood plant,incised + carved + notched,"Howitt, A. W. 1889. “Notes on Australian Message Sticks and Messengers”. The Journal of the Anthropological Institute of Great Britain and Ireland 18. [Royal Anthropological Institute of Great Britain and Ireland, Wiley]: 314–32 + Howitt, A. W. 1904. The native tribes of southeast Australia. London: Macmillan and Co., Limited.",journal article + book chapter + museum collection,1883,June 1883,2,1989.46.3,"Field Collector, Owner: Alfred William Howitt   PRM Source: Alfred William Howitt via Edward Burnett Tylor?   Acquired: Found unentered 1989. (Donated 1888.)",,Pitt Rivers Museum,-37.633616,145.008792,Chirila coordinates for Woiwurrung,http://objects.prm.ox.ac.uk/pages/PRMUID5156.html,http://nla.gov.au/nla.obj-26171094 http://archive.org/stream/nativetribesofso00howiuoft#page/n7/mode/2up,,"PRM Catalogue:
  ""Found unentered 1989. Collector's No. 6. Notched message stick with incised pattern. Its purpose was to invite people to come to a corroboree. Groups of notches denote the senders, the recipients of the message and the fact that ALL the men are invited. [LMM?]This interpretation does not tally with notes sent from Howitt to Tylor 'the marks are said not to have any meaning beyond being connected in the messengers mind with his message'. [JN 05/03/2014]
    Written on object - '6. JUNE 25 '89 A B' [AH 03/04/2013]
    Related Documents File - Article written by A.W. Howitt entitled: 'Notes on Australian Message Sticks and Messengers' from JAI Volume XVIII 1889 [See file for full text.] [ZM 6/1/2016]
    Possibly made by William Barak a man who witnessed the signing of the John Batman treaty in 1835, between Batman and a group of Aboriginal elders.(see research notes). Probably number 6 in the list in the letter from Howitt to Tylor: ""(6) Woi- worung message stick, the marks are said not to have any meaning beyond being connected in the messengers mind with his message. Woi-worung was the name of the tribe living above Melbourne."" [JN 27/03/2013]
    Display history: Possibly displayed at the PRM from as early as 1888 with other examples from the Howitt collection of message-sticks (1989.46) (see photograph A23.F11.1, taken in 1995). [JC 11 1 2006]
    Loaned to the Crafts Council for their exhibition Codes and Messages: Lettering Today, held at the Crafts Council Gallery, Islington, London, from 30 November 1995 to 4 February 1996. [JC]
    Requested for loan to the First People exhibition at Bunjilaka Cultural Centre, Melbourne Museum. Loan agreed February 2013. Loan temporarily withdrawn April 2013 with possible year-long delay. [JN 27/03/2013]
    Publications history, trails &amp; websites: Illustrated as figure 1 in Plate XIV (entitled 'Australian Message Sticks') opposite page 331 of 'Notes on Australian Message Sticks and Messengers', by A. W. Howitt, in Journal of the Anthropological Institute, Vol XVIII, 1889, pp. 314-332. (Copy in RDF). NB The original pencil drawings by Alfred Robinson used to produce the figures in Plate XIV are held in the PRM Manuscript Collections: Pitt Rivers Museum Papers / Box 2 / 1-3. [JC 20 9 2000, 17 6 2008]
    Research notes: In an email to the PRM dated 7 October 2012, from Michael Reason (Curator, History and Technology, Humanities Department, Museum Victoria) writes: 'From research carried out after one of our curators visited the Pitt Rivers Museum in 2011, we believe that it was probably made by William Barak, a man who witnessed the signing of the John Batman treaty in 1835, between Batman and a group of Aboriginal elders.' (Printout in RDF.) [JC 9 10 2012]
    The Australian Dictionary of Biography includes an entry for William Barak (1824-1903) that notes: He was Howitt's chief informant for central and south-west Victoria and elsewhere [for the full entry see http://adb.anu.edu.au/biography/barak-william-2930]. [ZM 14/02/2013]
    This is probably one of the object mentioned in a letter from Howitt [Howitt 10] of the Tylor papers PRM ms collections Box 12 of June 25 1883: 
    'Dear Dr Tylor Your letter of the 13th May reminds me that I have not yet sent the turndun which I promised in my last letter. The reason is that I have been waiting until I could get them carefully drawn in order that I may have their versimilitudes for reference. I shall now send the following within the next two days in one or parcels [sic] as I find they may require for travel purposes
    (1) Murring Mudthi (bullroarer) used at Mileatom [?] and found [illegible] factory. [insert] The notch at the end represents the gap where the tooth has been knocked out [end insert]
    (2) Dieri -- Yuntha (Bullroarer) This was used at the Dieri ceremonies and also by me at those of the Coast Murring
    (3) Chepara Message stick I am not able to get an explanation of the marks. It seems probable that the existing blackfellows of the Chepara tribe (on the coast south of Brisbane) have forgotten the meaning. Mr Gibson to whom I am indebted for this stick tells me that his informant states that his father used to make these sticks but that he only knew of the meaning of the marks.
    (4) Dieri message token of Emu feathers. The messenger carries this and delivers the message by word of mouth
    (5) Narrinyeri message stick No explanation can be given of the marks. Narringyeri tribe is at the Murray River mouth
    (6) Woi-worung message stick. the marks are said not to have had any meaning beyond being connected in the messengers mind with his message. Woi-worung was the name of the tribe living above Melbourne.
    (7) Message stick used on the Diamantina River [insert] Queensland [end insert] So far as I can learn the marks are the enumeration of men who are invited to attend the details being given by the messenger.
    (8) Gournd[insert] i [end insert]tch mara message stick. I am told that this stick was sent with the messenger who conveyed the message by word of mouth
    (9) Dieri net. This net ""yamma"" was delivered to the Pinya (armed party) when any person was doomed to death by the Great Council of the Dieri tribe and the offender having been killed, this net was laid upon him as a sign to all concerned. Let me mention here that this Great Council was composed to the principal men of the Dieri tribe. The Heads of Murdus (Totems) Warriors, Orators, Wizards and held its meetings in secret. This great Council was supreme and different from the General Council which consisted of all the initiated men of the tribe. 
    10. Aaja-dura - Bullroarer. I cannot at present turn up the letter in which my correspondents gave me the name of this example. It was sent to me by the Headman of this tribe which inhabits Yorks Peninsula S.A. in return for a bullroarer which I sent to him. The old man showeed mine to my correspondent with much mystery after sending all the women away from the place
    These are all the contributions which I can send you this time but more will follow as soon as I can get them drawn -- I do this because I cannot yet tell whether in the work for which I am gathering materials I may or may not require illustrations of these things. This will not however in any way affect any use to which you may decide to put them. They are yours to do with as you like. If there are any other blackfellows implements which you want I shall be delighted to try and obtain them for you. [AP 05/02/2013]
",sd_person_sender sd_person_recipient sd_request_invitation_ceremony sd_ceremony sd_person_group,Piers Kelly,EAEA0-6174-CCEC-0B09-0 EAEA0-6285-4D6A-DC07-0 EAEA0-68C3-2CF2-CDDD-0 EAEA0-75CD-AA38-F9FF-0 EAEA0-B87B-92B8-2E39-0 EAEA0-E325-30CC-4736-0 EAEA0-F40E-6C26-AFA0-0
PRM1989_46_9,"A message stick from New South Wales held in the Pitt Rivers Museum, and reproduced by A.W. Howitt (1889, 1904)","Message stick holder: Pitt Rivers Museum, ""Message stick, wrapped in string. The stick is carved to a tip at one end. The cotton string is wrapped around the centre of the stick.""    Sketch of message stick (fig. 4) in Howitt's 'Notes on Australian message sticks and messengers', p. 331    Sketch of message stick (fig.5) on p. 704 of Howitt's 1904 ""The native tribes of southeast Australia""",,,message stick in a collection,traditional,New South Wales,,,,interpreted_artefact + glossed_artefact + multiple_sources + localized_artefact,"Sender: ""a Tongaranka blackfellow""  Recipient: ""two of his friends"" (1889 p. 327; 1904, p692)",1883,terminus ante quem,3,"The message stick is associated with the “Tongaranka tribe”: ""Message stick from a man of the Tongaranka tribe"" (Howitt 1889, p.331). New South Wales.    See Tongaranka synonyms at AIATSIS: https://collection.aiatsis.gov.au/austlang/language/d21    Harald wrote: ""Wanyiwalku is there [in Glottolog] as Bagundji [bagu1250]""    Claire wrote: ""https://glottolog.org/resource/languoid/id/darl1243 is the cover term for  Paakintyi (of which Wanyiwalku/Pantyikali is a variety); Harald will have  to say why he chose the three varieties he did as sub-varieties.""    Piers decision: Bagundji [bagu1250] will be used to represent ""Tongaranka"" (ie Wanyiwalku) until Wanyiwalku is represented as a subvariety within glottolog.",,"Fig. 4, Plate XIV, represents a message stick sent by a Tongaranka blackfellow inviting two of his friends at a distance to come and see him as his wife was ill and could not travel. The notch (a) means the sender; (b)and (c) the two men invited. The stick was wrapped round with a piece of thread to render it less liable  to be lost. (Howitt 1889, p. 327)    ""[...] a Tongaranka blackfellow inviting two of his friends at a distance to come and see him as his wife was ill and could not travel. The notch (a) means the sender; (b) and (c) the two men invited."" (p. 327) ""Fig. 4. Message stick from a man of the Tongaranka tribe, (a) the sender of the message, (b), (c) the two men initiated by (a) to meet him."" (Howitt 1889, p. 331)    ""No. 5 represents a message-stick sent by a man of the  Tongaranka tribe, inviting two of his friends at a distance to come and see him, as his wife was ill and could not travel. The lower notch represents the sender, and the two others the men invited.  This message-stick is made of part of a small branch of a tree, and is wrapped round with a few strands of a man's kilt, with which article of man's attire the boy is invested after initiation. The whole is tied up in about two feet of the cord made of twisted opossum fur, which the novice wears for a time, after his initiation, as evidence of his having been made a "" young man."" "" (Howitt 1904, p. 692)",52 17,,wood plant + cotton yarn plant + string binding,incised + notched + bound,"Howitt, A. W. 1889. “Notes on Australian Message Sticks and Messengers”. The Journal of the Anthropological Institute of Great Britain and Ireland 18. [Royal Anthropological Institute of Great Britain and Ireland, Wiley]: 314–32 + Howitt, A. W. 1904. The native tribes of southeast Australia. London: Macmillan and Co., Limited.",museum collection + book article,1883,1883,2,1989.46.9,"Field Collector: Alfred William Howitt  PRM Source: Alfred William Howitt via Edward Burnett Tylor? Acquired: Found unentered, 1989 Donated 1888",,Pitt Rivers Museum,-31.019431,142.858867,Chirila coordinates for Wanyiwalku,http://objects.prm.ox.ac.uk/pages/PRMUID5162.html,http://nla.gov.au/nla.obj-26171094 https://archive.org/stream/nativetribesofso00howiuoft#page/704,,"PRM Catalogue: ""Display history: Possibly displayed at the PRM from as early as 1888 with other examples from the Howitt collection of message-sticks (1989.46) (see photograph A23.F11.1, taken in 1995). [JC 11 1 2006]    Publications history, trails &amp; websites: Illustrated as figure 4 in Plate XIV (entitled 'Australian Message Sticks') opposite page 331 of 'Notes on Australian Message Sticks and Messengers', by A. W. Howitt, in Journal of the Anthropological Institute, Vol XVIII, 1889, pp. 314-332. (Copy in RDF). NB The original pencil drawings by Alfred Robinson used to produce the figures in Plate XIV are held in the PRM Manuscript Collections: Pitt Rivers Museum Papers / Box 2 / 1-3. [JC 20 9 2000, 17 6 2008]""    PK: This is probably the smallest message stick in the database  PK: No new info in PRM print-out (2019)",sd_person_woman_wife sd_request_invitation sd_illness sd_person,Piers Kelly,EAEA0-2F0F-275A-8276-0 EAEA0-574A-906F-821C-0 EAEA0-5A8B-7870-4738-0 EAEA0-A148-9F5D-8216-0 EAEA0-A9A8-4035-9EFB-0 EAEA0-D680-15A7-4AFB-0 EAEA0-E073-E533-6AAB-0 EAEA0-F1CD-8993-05DB-0 EAEA0-F45F-9E2E-3BB9-0
EMB_VI_NLS4370,A Mayi-Kulan message stick held in the Ethnologisches Museum Berlin,"This message stick is held in the Ethnologisches Museum in Berlin but it is described simply as ""Botenstab"" and is not associated with a catalogue entry. The 'NLS' on the tag means nummernlos or 'unnumbered'. Nonetheless it is identical to a sketch published as Figure 5 in A. W. Howitt's 'Notes on Australian message sticks and messengers'. It is not clear how it made its way to the EMB.",,,message stick in a collection,traditional,Queensland,,,,interpreted_artefact + localized_artefact + multiple_sources + provenance_discovery + signature,,1883,terminus ante quem; 1883-08,4 5,"The message stick is associated with the “Maikulon tribe"":   ""a man of the Maikulon tribe, to a man of the Maiapi tribe."" (Howitt 1889, p.327)  ""Message stick sent by a man of the Maikulon tribe, to a man of the Maiapi tribe in Northern Queensland""  (p. 331)      Maikulon is a synonym of Mayi-Kulan.    Maiapi is a synonym of Mayi-Yapi.    In the Ethnologisches Museum catalogue it is described simply as being from Queensland.",,"The one shown by fig 5, Plate XIV, is a friendly reminder or greeting, carried without any message excepting the sender's name by Mr. Palmer from a man of the Maikulon tribe, to a man of the Maiapi tribe. (Howitt 1889, p. 327)    ""Fig. 5. Message stick sent by a man of the Maikulon tribe, to a man of the Maiapi tribe in Northern Queensland, as a friendly reminder. Half scale."" (p. 331)",142 16 13,,wood plant,notched + carved,"Howitt, A. W. 1889. “Notes on Australian Message Sticks and Messengers”. The Journal of the Anthropological Institute of Great Britain and Ireland 18. [Royal Anthropological Institute of Great Britain and Ireland, Wiley]: 314–32",museum collection + book article,1883,August 1883,3,VI NLS 4370,Franz Reuleaux,,Ethnologisches Museum Berlin,-19.083628,142.041881,Chirila coordinates for Mayi-Kulan,,http://nla.gov.au/nla.obj-26171094,,PK: Still more data to enter from EMB computer file print-out,sd_reminder,Piers Kelly,EAEA0-08AF-A950-DA0B-0 EAEA0-11F3-EFAC-7FB3-0 EAEA0-347A-A8CA-5EEF-0 EAEA0-42F6-D3F6-9230-0 EAEA0-6701-58E8-9DF7-0 EAEA0-7699-83B4-D603-0 EAEA0-9B8A-742F-3D69-0
PRM1989_46_8,"A message stick from North Queensland held in the Pitt Rivers Museum, and reproduced by A.W. Howitt (1889)",Message stick holder: Pitt Rivers Museum;  Two sketches of the same message stick showing front and back facets (fig. 6 and fig. 7) in Howitt's 'Notes on Australian message sticks'.,,,message stick in a collection,traditional,Queensland,,,,interpreted_artefact + localized_artefact + multiple_sources + long_distance,,1889,terminus ante quem,6,"The message stick is associated with the “Kugobathi tribe"":  ""the Kugobathi tribe, at the Mitchell River which flows into the Gulf of Carpentaria"" (Howitt 1889, p.327)  ""Message stick sent by a man at the Flinders River in North Queensland, to a friend at the Mitchell River"" (p. 331-332)    PK: According to Tindale Koogobatha and Koogobathy are synonyms for Kuku Mini    The specific location or linguistic area on the Flinders River is not noted. If upriver it could be Ngawun. Downriver it could be Kukatj or Kuthant",,"The one given in figs. 6 and 7 of Plate XIV, represents the front and reverse of a message stick sent by a blackfellow at the Flinders River to another at the Mitchell River, to inform him that his wife was dead. (Howitt 1889, p. 327)    ""These are examples of the more ornamented class message sticks which are used in some places."" (Howitt 1889, p. 327)    ""Figs. 6 and 7. Message stick sent by a man at the Flinders River in North Queensland, to a friend at the Mitchell River, to inform him that his wife was ill. Half scale.""(p.331-332)    ""Message stick sent by a man at Flinders River to a friend at Mitchell River, to inform him that his wife was dead, the white pipeclay (the mourning colour) being symbolically used to denote death. Kugobathi"" (PRM Catalogue)",58 10,,wood plant + kaolin clay,incised  carved,"Howitt, A. W. 1889. “Notes on Australian Message Sticks and Messengers”. The Journal of the Anthropological Institute of Great Britain and Ireland 18. [Royal Anthropological Institute of Great Britain and Ireland, Wiley]: 314–32",museum collection + book article,1883,August 1883,2,1989.46.8,"Field Collector: Edward Palmer  Other Owners: Alfred William Howitt  PRM Source: Alfred William Howitt via Edward Burnett Tylor?   Acquired: Found unentered 1989, Donated 1888",,Pitt Rivers Museum,-16.297361,143.652816,"Chirila coordinates for Gugu Mini (the destination of message stick, not origin)",http://objects.prm.ox.ac.uk/pages/PRMUID5161.html,http://nla.gov.au/nla.obj-26171094,,"PRM Catalogue: ""Display history: Possibly displayed at the PRM from as early as 1888 with other examples from the Howitt collection of message-sticks (1989.46) (see photograph A23.F11.1, taken in 1995). [JC 11 1 2006]    Loaned to the Crafts Council for their exhibition Codes and Messages: Lettering Today, held at the Crafts Council Gallery, Islington, London, from 30 November 1995 to 4 February 1996. [JC]    Publications history, trails &amp; websites: Illustrated as figure 7 in Plate XIV (entitled 'Australian Message Sticks') opposite page 331 of 'Notes on Australian Message Sticks and Messengers', by A. W. Howitt, in Journal of the Anthropological Institute, Vol XVIII, 1889, pp. 314-332. (Copy in RDF). NB The original pencil drawings by Alfred Robinson used to produce the figures in Plate XIV are held in the PRM Manuscript Collections: Pitt Rivers Museum Papers / Box 2 / 1-3. [JC 20 9 2000, 17 6 2008]        Research notes: Described in Tylor papers Box 12 PRM ms collections Howitt 11 as 'August 8 1883 ... Message stick sent by a Flinders River blackfellow to another at the Mitchell River to say his wife was dead. From Mr Palmer. [3] [AP 06/02/2013]""",sd_person_woman_wife sd_illness,Piers Kelly,EAEA0-21CD-5B2C-CA7A-0 EAEA0-7065-7F05-B4E8-0 EAEA0-9882-4179-01F2-0 EAEA0-B295-7715-580B-0 EAEA0-F305-93E0-B0C5-0
AWH1889P330F8,"Sketch of a message stick from Victoria reproduced in two A.W. Howitt's publications (1889, 1904)","Sketch of a message stick fig. 8 in 'Notes on Australian message sticks and messengers' (Howitt 1889) and fig. 5 in 'The native tribes of southeast Australia' (Howitt 1904, p.704).",,,image of a message stick (artefact missing),traditional,Victoria,,,,interpreted_artefact + glossed_artefact + localized_artefact + multiple_sources + short_distance + tally_imprecise + native_title_vic,"It conveys a message from the head-man of the Gromillŭkhorde, to the people of the Yarik-kŭllŭk horde at Lake Coorong, both being local divisions of the Wotjo-baluk tribe. (Howitt 1889, 320)",1889,terminus ante quem,7,"The message stick is associated with the “Wotjoballuk tribe, Victoria"" (Howitt 1889, p.332)/ ""Wotjobaluk tribe"" (Howitt 1904)    ""It conveys a message from the head-man of the Gromillŭk horde, to the people of the Yarik-kŭllŭk horde at Lake Coorong, both being local divisions of the Wotjobaluk tribe."" (Howitt 1889, p. 321)
    ""This kind of message-stick, called galk, that is, wood or stick, may be seen by any one."" (Howitt 1904 p. 698)","kalk ('galk', meaning wood or stick) (Howitt 1904, p. 698)","It conveys a message from the head-man of the Gromillŭk horde, to the people of the Yarik-kŭllŭk horde at Lake Coorong, both being local divisions of the Wotjobaluk tribe. The message invited all the people to come to a corroboree.
    The notches at (a) represent the sender and his four friends, being the principal men at Gromilluk. The notches at (b) represent the Yari-kuluk people. The notches continuing along the edge to the end on each edge indicates that all the people are to come. The shape of the stick is due to it having [320] been made from a crooked branch of a tree, and is not intentional. (Howitt 1889, p. 321)
    ""Message stick of the Wotjoballuk tribe, Victoria, sent to invite an assembly for corroboree; (a) the sender of the message and four friends, (c) the recipient. The other notches indicate that all the people with (b) are to attend. Half scale."" (Howitt 1889, p. 332)
    ""The illustration, Fig. 43, No. 5, represents one of these sticks, which was made to convey an invitation from the Headman of the Gromilluk horde to the Yarik-kulluk horde at Lake Coorong, both being local divisions of the Wotjobaluk tribe. All the people were invited to attend. The three notches at the upper end on the right-hand side show the sender and his friends, who were the principal Gromilluk men. The large notch represents the Yarik-killuk horde and its Headman, to whom the message was sent. The notches continuing along the edge to the end and along the other edge indicate all the people of the horde being invited."" (Howitt 1904, p. 697)",,,,,"Howitt, A. W. 1889. “Notes on Australian Message Sticks and Messengers”. The Journal of the Anthropological Institute of Great Britain and Ireland 18. [Royal Anthropological Institute of Great Britain and Ireland, Wiley]: 314–32 + Howitt, A. W. 1904. The native tribes of southeast Australia. London: Macmillan and Co., Limited.",journal article + book chapter,,,,,,,,-35.821045,141.417914,,http://nla.gov.au/nla.obj-26171094,https://archive.org/stream/nativetribesofso00howiuoft#page/696/mode/2up,,,sd_ceremony sd_person_sender sd_person_recipient sd_request_invitation_ceremony sd_person_group,Piers Kelly,EAEA0-8FB5-7227-89C1-0 EAEA0-E335-F587-6A9A-0 EAEA0-E69F-7E91-91AD-0
