ID,Name,Description,Media_Type,Download_URL,Path_In_Zip
EAEA0-6285-4D6A-DC07-0_t,t_PRM-1989.46.3_01.png,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-6285-4D6A-DC07-0.jpg
EAEA0-6285-4D6A-DC07-0_w,w_PRM-1989.46.3_01.png,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-6285-4D6A-DC07-0.jpg
EAEA0-B87B-92B8-2E39-0,PRM-1989.46.3_02.png,,image/png,https://zenodo.org/records/21504350/files/amsd_media_B.zip,amsd/EAEA0-B/EAEA0-B87B-92B8-2E39-0.png
EAEA0-B87B-92B8-2E39-0_t,t_PRM-1989.46.3_02.png,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-B87B-92B8-2E39-0.jpg
EAEA0-B87B-92B8-2E39-0_w,w_PRM-1989.46.3_02.png,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-B87B-92B8-2E39-0.jpg
EAEA0-6174-CCEC-0B09-0,PRM-1989.46.3_03.png,,image/png,https://zenodo.org/records/21504350/files/amsd_media_6.zip,amsd/EAEA0-6/EAEA0-6174-CCEC-0B09-0.png
EAEA0-6174-CCEC-0B09-0_t,t_PRM-1989.46.3_03.png,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-6174-CCEC-0B09-0.jpg
EAEA0-6174-CCEC-0B09-0_w,w_PRM-1989.46.3_03.png,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-6174-CCEC-0B09-0.jpg
EAEA0-68C3-2CF2-CDDD-0,y-PRM-1989.46.3_01_traced_black.png,,image/png,https://zenodo.org/records/21504350/files/amsd_media_6.zip,amsd/EAEA0-6/EAEA0-68C3-2CF2-CDDD-0.png
EAEA0-68C3-2CF2-CDDD-0_t,t_y-PRM-1989.46.3_01_traced_black.png,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-68C3-2CF2-CDDD-0.jpg
EAEA0-68C3-2CF2-CDDD-0_w,w_y-PRM-1989.46.3_01_traced_black.png,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-68C3-2CF2-CDDD-0.jpg
EAEA0-F40E-6C26-AFA0-0,PRM_display02.jpeg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_F.zip,amsd/EAEA0-F/EAEA0-F40E-6C26-AFA0-0.jpeg
EAEA0-F40E-6C26-AFA0-0_t,t_PRM_display02.jpeg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-F40E-6C26-AFA0-0.jpg
EAEA0-F40E-6C26-AFA0-0_w,w_PRM_display02.jpeg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-F40E-6C26-AFA0-0.jpg
EAEA0-D680-15A7-4AFB-0,1889-Artefact_fig04-Howitt-Notes_on_Australian_message_sticks-p330-331.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_D.zip,amsd/EAEA0-D/EAEA0-D680-15A7-4AFB-0.jpg
EAEA0-D680-15A7-4AFB-0_t,t_1889-Artefact_fig04-Howitt-Notes_on_Australian_message_sticks-p330-331.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-D680-15A7-4AFB-0.jpg
EAEA0-D680-15A7-4AFB-0_w,w_1889-Artefact_fig04-Howitt-Notes_on_Australian_message_sticks-p330-331.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-D680-15A7-4AFB-0.jpg
EAEA0-574A-906F-821C-0,PRM-1989.46.9.png,,image/png,https://zenodo.org/records/21504350/files/amsd_media_5.zip,amsd/EAEA0-5/EAEA0-574A-906F-821C-0.png
EAEA0-574A-906F-821C-0_t,t_PRM-1989.46.9.png,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-574A-906F-821C-0.jpg
EAEA0-574A-906F-821C-0_w,w_PRM-1989.46.9.png,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-574A-906F-821C-0.jpg
EAEA0-F1CD-8993-05DB-0,1904-Artefact05_fig44-Howitt-The_native_tribes-p704.JPG,,image/png,https://zenodo.org/records/21504350/files/amsd_media_F.zip,amsd/EAEA0-F/EAEA0-F1CD-8993-05DB-0.png
EAEA0-F1CD-8993-05DB-0_t,t_1904-Artefact05_fig44-Howitt-The_native_tribes-p704.JPG,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-F1CD-8993-05DB-0.jpg
EAEA0-F1CD-8993-05DB-0_w,w_1904-Artefact05_fig44-Howitt-The_native_tribes-p704.JPG,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-F1CD-8993-05DB-0.jpg
EAEA0-F45F-9E2E-3BB9-0,y-1889-Artefact_fig04-Howitt-Notes_on_Australian_message_sticks-p330-331_black.png,,image/png,https://zenodo.org/records/21504350/files/amsd_media_F.zip,amsd/EAEA0-F/EAEA0-F45F-9E2E-3BB9-0.png
EAEA0-F45F-9E2E-3BB9-0_t,t_y-1889-Artefact_fig04-Howitt-Notes_on_Australian_message_sticks-p330-331_black.png,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-F45F-9E2E-3BB9-0.jpg
EAEA0-F45F-9E2E-3BB9-0_w,w_y-1889-Artefact_fig04-Howitt-Notes_on_Australian_message_sticks-p330-331_black.png,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-F45F-9E2E-3BB9-0.jpg
EAEA0-2F0F-275A-8276-0,PRM1989_46_9c.jpeg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_2.zip,amsd/EAEA0-2/EAEA0-2F0F-275A-8276-0.jpeg
EAEA0-2F0F-275A-8276-0_t,t_PRM1989_46_9c.jpeg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-2F0F-275A-8276-0.jpg
EAEA0-2F0F-275A-8276-0_w,w_PRM1989_46_9c.jpeg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-2F0F-275A-8276-0.jpg
EAEA0-5A8B-7870-4738-0,PRM1989_46_9b.jpeg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_5.zip,amsd/EAEA0-5/EAEA0-5A8B-7870-4738-0.jpeg
