pk,name,oid,path
42,y-1889-Artefact_fig11-Howitt-Notes_on_Australian_message_sticks-p330-331_black.png,EAEA0-68F5-BFE5-7587-0,y_1889_Artefact_fig11_Howitt_Notes_on_Australian_message_sticks_p330_331_black.png
43,y-1889-Artefact_fig12-Howitt-Notes_on_Australian_message_sticks-p330-331_black.png,EAEA0-E3CD-E3C5-1BD4-0,y_1889_Artefact_fig12_Howitt_Notes_on_Australian_message_sticks_p330_331_black.png
44,1904-Artefact11_fig44-Howitt-The_native_tribes-p704.png,EAEA0-FB53-59AD-FF10-0,1904_Artefact11_fig44_Howitt_The_native_tribes_p704.png
45,y-1889-Artefact_fig13-Howitt-p330-331_black.png,EAEA0-3805-8AE4-9986-0,y_1889_Artefact_fig13_Howitt_p330_331_black.png
46,1889-Artefact_fig13-Howitt-Notes_on_Australian_message_sticks-p330-331.png,EAEA0-47B3-399F-EB1B-0,1889_Artefact_fig13_Howitt_Notes_on_Australian_message_sticks_p330_331.png
47,1904-Artefact04_fig45-Howitt-The_native_tribes-p708.JPG,EAEA0-EC6C-FF00-BADA-0,1904_Artefact04_fig45_Howitt_The_native_tribes_p708.JPG
48,1889-Artefact_fig14-Howitt-Notes_on_Australian_message_sticks-p330-331.jpg,EAEA0-2A3A-0F54-C3FE-0,1889_Artefact_fig14_Howitt_Notes_on_Australian_message_sticks_p330_331.jpg
49,1904-Artefact03_fig45-Howitt-The_native_tribes-p708.JPG,EAEA0-F89C-02E2-78D3-0,1904_Artefact03_fig45_Howitt_The_native_tribes_p708.JPG
50,1904-Howitt-The_native_tribes.pdf,EAEA0-7C39-9C7F-D2AC-0,1904_Howitt_The_native_tribes.pdf
51,PRM-1989.46.1_02.png,EAEA0-C5D6-095E-9823-0,PRM_1989.46.1_02.png
52,PRM-1989.46.1_01.png,EAEA0-DFEF-FAB6-BE1B-0,PRM_1989.46.1_01.png
53,1904-Artefact01_fig45-Howitt-The_native_tribes-p708.JPG,EAEA0-8F23-DD2D-C46E-0,1904_Artefact01_fig45_Howitt_The_native_tribes_p708.JPG
54,1904-Artefact02_fig45-Howitt-The_native_tribes-p708.JPG,EAEA0-ABB6-3485-CC6D-0,1904_Artefact02_fig45_Howitt_The_native_tribes_p708.JPG
55,1889-Artefact_fig16-Howitt-Notes_on_Australian_message_sticks-p330-331.jpg,EAEA0-E3EB-4425-FFBE-0,1889_Artefact_fig16_Howitt_Notes_on_Australian_message_sticks_p330_331.jpg
56,1889-Artefact_fig15-Howitt-Notes_on_Australian_message_sticks-p330-331.jpg,EAEA0-D686-69FD-4A89-0,1889_Artefact_fig15_Howitt_Notes_on_Australian_message_sticks_p330_331.jpg
57,PRM-1989.46.4_02.png,EAEA0-6CE1-1B34-3FBB-0,PRM_1989.46.4_02.png
58,PRM-1989.46.4_03.png,EAEA0-9D77-C441-8A09-0,PRM_1989.46.4_03.png
59,1940-Artefact-fig09-Frank-Botenstaebe_in_Australien-p345.JPG,EAEA0-7F1B-AC3D-91F8-0,1940_Artefact_fig09_Frank_Botenstaebe_in_Australien_p345.JPG
60,1940-Frank-Botenstaebe_in_Australien.pdf,EAEA0-79CC-0403-F14C-0,1940_Frank_Botenstaebe_in_Australien.pdf
61,y-PRM-1989.46.4_01_traced_blue.png,EAEA0-9048-7D37-846E-0,y_PRM_1989.46.4_01_traced_blue.png
62,y-PRM-1989.46.4_02_traced_blue.png,EAEA0-9F93-4569-292A-0,y_PRM_1989.46.4_02_traced_blue.png
63,PRM-1989.46.4_01.png,EAEA0-C3CC-7192-C9F9-0,PRM_1989.46.4_01.png
64,1889-Artefact_fig17-Howitt-Notes_on_Australian_message_sticks-p330-331.jpg,EAEA0-BDC5-FED5-EF85-0,1889_Artefact_fig17_Howitt_Notes_on_Australian_message_sticks_p330_331.jpg
65,1904-Artefact10_fig44-Howitt-The_native_tribes-p704.png,EAEA0-4D69-BD30-9E97-0,1904_Artefact10_fig44_Howitt_The_native_tribes_p704.png
66,1940_Frank_Fig.23.png,EAEA0-BCA7-8AB5-BC23-0,1940_Frank_Fig.23.png
67,1897-Artefact_B-Bucknell-Message_sticks_and_their_meaning.jpg,EAEA0-0EB6-1C2B-4E83-0,1897_Artefact_B_Bucknell_Message_sticks_and_their_meaning.jpg
68,1897-Artefact_A-Bucknell-Message_sticks_and_their_meaning.jpg,EAEA0-390D-8EF3-E145-0,1897_Artefact_A_Bucknell_Message_sticks_and_their_meaning.jpg
69,1897-Bucknell-Message_sticks_and_their_meaning-1.pdf,EAEA0-FDF2-6340-20E8-0,1897_Bucknell_Message_sticks_and_their_meaning_1.pdf
70,1898-nla.news-article138665522.5.pdf,EAEA0-C006-B2B9-0776-0,1898_nla.news_article138665522.5.pdf
71,1897-Artefact_fig01-Mathews-Message_sticks_used_by_the_Aborig2-p292.JPG,EAEA0-5F09-6984-B84B-0,1897_Artefact_fig01_Mathews_Message_sticks_used_by_the_Aborig2_p292.JPG
72,1897-Artefact_fig02-Mathews-Message_sticks_used_by_the_Aborig2-p292.JPG,EAEA0-3D13-202F-597F-0,1897_Artefact_fig02_Mathews_Message_sticks_used_by_the_Aborig2_p292.JPG
73,AMus-E032197.png,EAEA0-BE21-0D40-F372-0,AMus_E032197.png
74,y-1897-Artefact_fig01-Mathews-Message_sticks_used_by_the_Aborig2-p292.png,EAEA0-9D05-0363-EE2C-0,y_1897_Artefact_fig01_Mathews_Message_sticks_used_by_the_Aborig2_p292.png
75,y-1897-Artefact_fig01-Mathews-Message_sticks_used_by_the_Aborig2-p292_01.png,EAEA0-5DE2-459D-C59F-0,y_1897_Artefact_fig01_Mathews_Message_sticks_used_by_the_Aborig2_p292_01.png
76,y-1897-Artefact_fig01-Mathews-Message_sticks_used_by_the_Aborig2-p292_02.png,EAEA0-FE8E-9688-4E35-0,y_1897_Artefact_fig01_Mathews_Message_sticks_used_by_the_Aborig2_p292_02.png
77,1897-Artefact_fig03-Mathews-Message_sticks_used_by_the_Aborig2-p292.JPG,EAEA0-FD2D-8C97-E744-0,1897_Artefact_fig03_Mathews_Message_sticks_used_by_the_Aborig2_p292.JPG
78,1897-Artefact_fig04-Mathews-Message_sticks_used_by_the_Aborig2-p292.JPG,EAEA0-BDCB-0E15-5045-0,1897_Artefact_fig04_Mathews_Message_sticks_used_by_the_Aborig2_p292.JPG
79,y-1897-Artefact_fig03-Mathews-Message_sticks_used_by_the_Aborig2-p292.png,EAEA0-5ACD-2F76-CB8B-0,y_1897_Artefact_fig03_Mathews_Message_sticks_used_by_the_Aborig2_p292.png
80,y-1897-Artefact_fig03-Mathews-Message_sticks_used_by_the_Aborig2-p292_01.png,EAEA0-7FD3-752C-1CF3-0,y_1897_Artefact_fig03_Mathews_Message_sticks_used_by_the_Aborig2_p292_01.png
