pk,name
1,book
2,journal article
3,book chapter
4,museum collection
5,book article
6,article
7,text source
8,newspaper article
9,unpublished manuscript
10,"sale item, ebay"
11,private sale
12,"sale item, lawsons auctioneers"
13,"sale item, www.carters.com.au"
14,archive
15,cultural institution
16,book source
17,ethnographic collection
